Nombre,Nacionalidad,Clubes
Wesley Sneijder,Paises Bajos,Ajax;Real Madrid;Inter Milan;Galatasaray
Robin van Persie,Paises Bajos,Feyenoord;Arsenal;Manchester United;Fenerbahçe
Dirk Kuyt,Paises Bajos,Utrecht;Feyenoord;Liverpool;Fenerbahçe
Patrick Kluivert,Paises Bajos,Ajax;Milan;Barcelona;Newcastle;Valencia
Rui Costa,Portugal,Benfica;Fiorentina;Milan
Luis Figo,Portugal,Sporting CP;Barcelona;Real Madrid;Inter Milan
Deco,Portugal,Porto;Barcelona;Chelsea;Fluminense
Pepe,Portugal,Maritimo;Porto;Real Madrid;Besiktas;Porto
Angel Di Maria,Argentina,Rosario Central;Benfica;Real Madrid;Manchester United;PSG;Juventus;Benfica
Javier Mascherano,Argentina,River Plate;Corinthians;West Ham;Liverpool;Barcelona;Hebei China Fortune;Estudiantes
Carlos Tevez,Argentina,Boca Juniors;Corinthians;West Ham;Manchester United;Manchester City;Juventus;Shanghai Shenhua
Juan Roman Riquelme,Argentina,Boca Juniors;Barcelona;Villarreal;Argentinos Juniors
Gabriel Batistuta,Argentina,Newell's;River Plate;Boca Juniors;Fiorentina;Roma;Inter Milan;Al-Arabi
Hernan Crespo,Argentina,River Plate;Parma;Lazio;Inter Milan;Chelsea;Milan;Genoa;Parma
Roberto Ayala,Argentina,Ferro;River Plate;Napoli;Milan;Valencia;Zaragoza
Diego Simeone,Argentina,Velez;Pisa;Sevilla;Atletico Madrid;Inter Milan;Lazio;Racing Club
Fernando Redondo,Argentina,Argentinos Juniors;Tenerife;Real Madrid;Milan
Pablo Aimar,Argentina,River Plate;Valencia;Zaragoza;Benfica
Esteban Cambiasso,Argentina,Independiente;River Plate;Real Madrid;Inter Milan;Leicester;Olympiacos
Juan Sebastian Veron,Argentina,Estudiantes;Boca Juniors;Sampdoria;Parma;Lazio;Manchester United;Chelsea;Inter Milan
David Villa,España,Sporting Gijon;Zaragoza;Valencia;Barcelona;Atletico Madrid;NYCFC;Vissel Kobe
Fernando Torres,España,Atletico Madrid;Liverpool;Chelsea;Milan;Atletico Madrid;Sagan Tosu
Raul Gonzalez,España,Real Madrid;Schalke 04;Al Sadd;New York Cosmos
Carles Puyol,España,Barcelona
David Silva,España,Valencia;Manchester City;Real Sociedad
Sergio Busquets,España,Barcelona;Inter Miami
Cesc Fabregas,España,Arsenal;Barcelona;Chelsea;Monaco;Como
Gerard Moreno,España,Villarreal
Sergio Aguero,Argentina,Independiente;Atletico Madrid;Manchester City;Barcelona
Gonzalo Higuain,Argentina,River Plate;Real Madrid;Napoli;Juventus;Milan;Chelsea;Inter Miami
Mauro Icardi,Argentina,Barcelona;Sampdoria;Inter Milan;PSG;Galatasaray
Julian Alvarez,Argentina,River Plate;Manchester City
Dibu Martinez,Argentina,Arsenal;Aston Villa
Rodri,España,Villarreal;Atletico Madrid;Manchester City
Kevin De Bruyne,Belgica,Genk;Chelsea;Wolfsburg;Manchester City
Eden Hazard,Belgica,Lille;Chelsea;Real Madrid
Romelu Lukaku,Belgica,Anderlecht;Chelsea;Everton;Manchester United;Inter Milan;Roma
Youri Tielemans,Belgica,Anderlecht;Monaco;Leicester;Aston Villa
Vinicius Jr,Brasil,Flamengo;Real Madrid
Rodrygo,Brasil,Santos;Real Madrid
Casemiro,Brasil,São Paulo;Real Madrid;Manchester United
Alisson,Brasil,Internacional;Roma;Liverpool
Ederson,Brasil,Recife;Rio Ave;Benfica;Manchester City
Dibu Martinez,Argentina,Independiente;Arsenal;Getafe;Reading;Aston Villa
Franco Armani,Argentina,Ferro;Deportivo Merlo;Atletico Nacional;River Plate
Geronimo Rulli,Argentina,Estudiantes;Real Sociedad;Montpellier;Villarreal;Ajax
Nahuel Molina,Argentina,Boca Juniors;Rosario Central;Udinese;Atletico Madrid
Gonzalo Montiel,Argentina,River Plate;Sevilla;Nottingham Forest
Cristian Romero,Argentina,Belgrano;Genoa;Juventus;Atalanta;Tottenham
Nicolas Otamendi,Argentina,Velez;Porto;Valencia;Manchester City;Benfica
German Pezzella,Argentina,River Plate;Real Betis;Fiorentina;Betis
Lisandro Martinez,Argentina,Newell's;Defensa y Justicia;Ajax;Manchester United
Nicolas Tagliafico,Argentina,Banfield;Independiente;Ajax;Lyon
Marcos Acuña,Argentina,Ferro;Racing Club;Sporting CP;Sevilla
Leandro Paredes,Argentina,Boca Juniors;Chievo;Roma;Zenit;PSG;Juventus;Roma
Rodrigo De Paul,Argentina,Racing Club;Valencia;Udinese;Atletico Madrid
Alexis Mac Allister,Argentina,Argentinos Juniors;Boca Juniors;Brighton;Liverpool
Enzo Fernandez,Argentina,River Plate;Defensa y Justicia;Benfica;Chelsea
Guido Rodriguez,Argentina,River Plate;Defensa y Justicia;Tijuana;America;Betis
Angel Di Maria,Argentina,Rosario Central;Benfica;Real Madrid;Manchester United;PSG;Juventus;Benfica
Paulo Dybala,Argentina,Instituto;Palermo;Juventus;Roma
Lionel Messi,Argentina,Newell's Old Boys;Barcelona;PSG;Inter Miami
Lautaro Martinez,Argentina,Racing Club;Inter Milan
Julian Alvarez,Argentina,River Plate;Manchester City
Angel Correa,Argentina,San Lorenzo;Atletico Madrid
Thiago Almada,Argentina,Velez;Atlanta United
Exequiel Palacios,Argentina,River Plate;Bayer Leverkusen
David Beckham,Inglaterra,Manchester United;Real Madrid;LA Galaxy;Milan;PSG
Cristiano Ronaldo,Portugal,Sporting CP;Manchester United;Real Madrid;Juventus;Al Nassr
Neymar Jr,Brasil,Santos;Barcelona;PSG;Al Hilal
Kylian Mbappe,Francia,Monaco;PSG;Real Madrid
Zlatan Ibrahimovic,Suecia,Malmö;Ajax;Juventus;Inter Milan;Barcelona;Milan;PSG;Manchester United;LA Galaxy;Milan
Ronaldinho,Brasil,Grêmio;PSG;Barcelona;Milan
Zinedine Zidane,Francia,Cannes;Bordeaux;Juventus;Real Madrid
Nazario Ronaldo,Brasil,Cruzeiro;PSV;Barcelona;Inter Milan;Real Madrid;Milan
Pele,Brasil,Santos;New York Cosmos
Diego Maradona,Argentina,Argentinos Juniors;Boca Juniors;Barcelona;Napoli;Sevilla
Mohamed Salah,Egipto,El Mokawloon;Basel;Chelsea;Fiorentina;Roma;Liverpool
Karim Benzema,Francia,Lyon;Real Madrid;Al-Ittihad
Erling Haaland,Noruega,Bryne;Molde;RB Salzburg;Borussia Dortmund;Manchester City
Luis Suarez,Uruguay,Nacional;Groningen;Ajax;Liverpool;Barcelona;Atletico Madrid
Edinson Cavani,Uruguay,Danubio;Palermo;Napoli;PSG;Manchester United;Valencia;Boca Juniors
Gerard Pique,España,Manchester United;Barcelona
Andres Iniesta,España,Barcelona;Vissel Kobe
Xavi,España,Barcelona;Al Sadd
Sergio Ramos,España,Sevilla;Real Madrid;PSG;Sevilla
Iker Casillas,España,Real Madrid;Porto
Gareth Bale,Gales,Southampton;Tottenham;Real Madrid;Los Angeles FC
Marcelo,Brasil,Fluminense;Real Madrid;Olympiacos;Fluminense
James Rodriguez,Colombia,Envigado;Porto;Monaco;Real Madrid;Bayern Munich;Everton;São Paulo
Radamel Falcao,Colombia,River Plate;Porto;Atletico Madrid;Monaco;Manchester United;Chelsea;Rayo Vallecano
Virgil van Dijk,Paises Bajos,Groningen;Celtic;Southampton;Liverpool
Robert Lewandowski,Polonia,Znicz Pruszkow;Lech Poznań;Borussia Dortmund;Bayern Munich;Barcelona
Manuel Neuer,Alemania,Schalke 04;Bayern Munich
Thomas Muller,Alemania,Bayern Munich
